0 0 26.7867
0 0.0005 26.7879
0 0.001 26.7912
0 0.0015 26.7967
0 0.002 26.8039
0 0.0025 26.8126
0 0.003 26.8222
0 0.0035 26.8324
0 0.004 26.8425
0 0.0045 26.8519
0 0.005 26.86
0 0.0055 26.8662
0 0.006 26.8698
0 0.0065 26.8702
0 0.007 26.8669
0 0.0075 26.8593
0 0.008 26.8468
0 0.0085 26.829
0 0.009 26.8055
0 0.0095 26.7757
0 0.01 26.7394
0 0.0105 26.6962
0 0.011 26.6457
0 0.0115 26.5876
0 0.012 26.5217
0 0.0125 26.4476
0 0.013 26.3651
0 0.0135 26.2739
0 0.014 26.1736
0 0.0145 26.064
0 0.015 25.9448
0 0.0155 25.8156
0 0.016 25.6762
0 0.0165 25.5261
0 0.017 25.3649
0 0.0175 25.1923
0 0.018 25.0078
0 0.0185 24.811
0 0.019 24.6014
0 0.0195 24.3784
0 0.02 24.1416
0 0.0205 23.8904
0 0.021 23.6242
0 0.0215 23.3425
0 0.022 23.0444
0 0.0225 22.7296
0 0.023 22.3971
0 0.0235 22.0465
0 0.024 21.677
0 0.0245 21.2879
0 0.025 20.8786
0 0.0255 20.4483
0 0.026 19.9964
0 0.0265 19.5223
0 0.027 19.0255
0 0.0275 18.5054
0 0.028 17.9615
0 0.0285 17.3935
0 0.029 16.8011
0 0.0295 16.1842
0 0.03 15.5427
0 0.0305 14.8768
0 0.031 14.1868
0 0.0315 13.4731
0 0.032 12.7365
0 0.0325 11.9778
0 0.033 11.1981
0 0.0335 10.3987
0 0.034 9.58112
0 0.0345 8.74715
0 0.035 7.89866
0 0.0355 7.03778
0 0.036 6.16678
0 0.0365 5.28806
0 0.037 4.40414
0 0.0375 3.51766
0 0.038 2.63128
0 0.0385 1.74773
0 0.039 0.869731
0 0.0395 -7.72476e-16

0.0005 0 26.7844
0.0005 0.0005 26.7856
0.0005 0.001 26.7891
0.0005 0.0015 26.7947
0.0005 0.002 26.8022
0.0005 0.0025 26.8112
0.0005 0.003 26.8212
0.0005 0.0035 26.8317
0.0005 0.004 26.8422
0.0005 0.0045 26.8521
0.0005 0.005 26.8606
0.0005 0.0055 26.8672
0.0005 0.006 26.8713
0.0005 0.0065 26.8722
0.0005 0.007 26.8693
0.0005 0.0075 26.8621
0.0005 0.008 26.85
0.0005 0.0085 26.8325
0.0005 0.009 26.8093
0.0005 0.0095 26.7799
0.0005 0.01 26.7439
0.0005 0.0105 26.7009
0.0005 0.011 26.6507
0.0005 0.0115 26.5929
0.0005 0.012 26.5273
0.0005 0.0125 26.4534
0.0005 0.013 26.3712
0.0005 0.0135 26.2802
0.0005 0.014 26.1801
0.0005 0.0145 26.0708
0.0005 0.015 25.9519
0.0005 0.0155 25.823
0.0005 0.016 25.6838
0.0005 0.0165 25.5339
0.0005 0.017 25.3731
0.0005 0.0175 25.2008
0.0005 0.018 25.0166
0.0005 0.0185 24.8201
0.0005 0.019 24.6109
0.0005 0.0195 24.3883
0.0005 0.02 24.1519
0.0005 0.0205 23.9011
0.0005 0.021 23.6353
0.0005 0.0215 23.3539
0.0005 0.022 23.0564
0.0005 0.0225 22.7419
0.0005 0.023 22.41
0.0005 0.0235 22.0598
0.0005 0.024 21.6907
0.0005 0.0245 21.3021
0.0005 0.025 20.8932
0.0005 0.0255 20.4634
0.0005 0.026 20.012
0.0005 0.0265 19.5383
0.0005 0.027 19.0419
0.0005 0.0275 18.5221
0.0005 0.028 17.9785
0.0005 0.0285 17.4108
0.0005 0.029 16.8186
0.0005 0.0295 16.2018
0.0005 0.03 15.5604
0.0005 0.0305 14.8944
0.0005 0.031 14.2043
0.0005 0.0315 13.4904
0.0005 0.032 12.7534
0.0005 0.0325 11.9942
0.0005 0.033 11.2139
0.0005 0.0335 10.4138
0.0005 0.034 9.59541
0.0005 0.0345 8.76049
0.0005 0.035 7.91097
0.0005 0.0355 7.04895
0.0005 0.036 6.17671
0.0005 0.0365 5.29669
0.0005 0.037 4.41141
0.0005 0.0375 3.52351
0.0005 0.038 2.63569
0.0005 0.0385 1.75067
0.0005 0.039 0.871199
0.0005 0.0395 -7.7378e-16

0.001 0 26.7775
0.001 0.0005 26.7787
0.001 0.001 26.7825
0.001 0.0015 26.7887
0.001 0.002 26.7969
0.001 0.0025 26.8068
0.001 0.003 26.8179
0.001 0.0035 26.8296
0.001 0.004 26.8413
0.001 0.0045 26.8525
0.001 0.005 26.8624
0.001 0.0055 26.8704
0.001 0.006 26.8758
0.001 0.0065 26.878
0.001 0.007 26.8763
0.001 0.0075 26.8703
0.001 0.008 26.8594
0.001 0.0085 26.843
0.001 0.009 26.8208
0.001 0.0095 26.7924
0.001 0.01 26.7572
0.001 0.0105 26.7152
0.001 0.011 26.6658
0.001 0.0115 26.6088
0.001 0.012 26.5439
0.001 0.0125 26.4708
0.001 0.013 26.3892
0.001 0.0135 26.299
0.001 0.014 26.1997
0.001 0.0145 26.0912
0.001 0.015 25.973
0.001 0.0155 25.8449
0.001 0.016 25.7065
0.001 0.0165 25.5576
0.001 0.017 25.3976
0.001 0.0175 25.2262
0.001 0.018 25.043
0.001 0.0185 24.8476
0.001 0.019 24.6394
0.001 0.0195 24.4179
0.001 0.02 24.1826
0.001 0.0205 23.933
0.001 0.021 23.6685
0.001 0.0215 23.3884
0.001 0.022 23.0921
0.001 0.0225 22.779
0.001 0.023 22.4484
0.001 0.0235 22.0996
0.001 0.024 21.732
0.001 0.0245 21.3447
0.001 0.025 20.9372
0.001 0.0255 20.5087
0.001 0.026 20.0586
0.001 0.0265 19.5862
0.001 0.027 19.091
0.001 0.0275 18.5723
0.001 0.028 18.0296
0.001 0.0285 17.4627
0.001 0.029 16.8711
0.001 0.0295 16.2547
0.001 0.03 15.6134
0.001 0.0305 14.9474
0.001 0.031 14.2568
0.001 0.0315 13.5422
0.001 0.032 12.8041
0.001 0.0325 12.0435
0.001 0.033 11.2615
0.001 0.0335 10.4593
0.001 0.034 9.6384
0.001 0.0345 8.80066
0.001 0.035 7.94799
0.001 0.0355 7.08254
0.001 0.036 6.20661
0.001 0.0365 5.32266
0.001 0.037 4.43328
0.001 0.0375 3.54113
0.001 0.038 2.64896
0.001 0.0385 1.75952
0.001 0.039 0.875617
0.001 0.0395 -7.77704e-16

0.0015 0 26.7653
0.0015 0.0005 26.7668
0.0015 0.001 26.7712
0.0015 0.0015 26.7782
0.0015 0.002 26.7877
0.0015 0.0025 26.7991
0.0015 0.003 26.812
0.0015 0.0035 26.8257
0.0015 0.004 26.8396
0.0015 0.0045 26.853
0.0015 0.005 26.8652
0.0015 0.0055 26.8755
0.0015 0.006 26.8832
0.0015 0.0065 26.8876
0.0015 0.007 26.888
0.0015 0.0075 26.884
0.0015 0.008 26.875
0.0015 0.0085 26.8605
0.0015 0.009 26.84
0.0015 0.0095 26.8131
0.0015 0.01 26.7795
0.0015 0.0105 26.7389
0.0015 0.011 26.6908
0.0015 0.0115 26.6351
0.0015 0.012 26.5715
0.0015 0.0125 26.4997
0.0015 0.013 26.4194
0.0015 0.0135 26.3303
0.0015 0.014 26.2323
0.0015 0.0145 26.125
0.0015 0.015 26.0081
0.0015 0.0155 25.8814
0.0015 0.016 25.7444
0.0015 0.0165 25.5968
0.0015 0.017 25.4384
0.0015 0.0175 25.2686
0.0015 0.018 25.087
0.0015 0.0185 24.8932
0.0015 0.019 24.6868
0.0015 0.0195 24.4671
0.0015 0.02 24.2338
0.0015 0.0205 23.9861
0.0015 0.021 23.7236
0.0015 0.0215 23.4457
0.0015 0.022 23.1516
0.0015 0.0225 22.8407
0.0015 0.023 22.5124
0.0015 0.0235 22.1659
0.0015 0.024 21.8006
0.0015 0.0245 21.4157
0.0015 0.025 21.0105
0.0015 0.0255 20.5843
0.0015 0.026 20.1364
0.0015 0.0265 19.6662
0.0015 0.027 19.1729
0.0015 0.0275 18.656
0.0015 0.028 18.115
0.0015 0.0285 17.5494
0.0015 0.029 16.9589
0.0015 0.0295 16.3432
0.0015 0.03 15.7022
0.0015 0.0305 15.036
0.0015 0.031 14.3448
0.0015 0.0315 13.629
0.0015 0.032 12.8892
0.0015 0.0325 12.1262
0.0015 0.033 11.3412
0.0015 0.0335 10.5355
0.0015 0.034 9.71046
0.0015 0.0345 8.868
0.0015 0.035 8.01007
0.0015 0.0355 7.13886
0.0015 0.036 6.25674
0.0015 0.0365 5.36622
0.0015 0.037 4.46995
